Role,Issues Noted,Issue Report Date,Issue Resolved Date
Software Engineer,No access to Mednet database; VPN issues,2024-01-12,2024-01-18
Business Analyst,Softphone not set up,2024-01-20,2024-01-22
Data Scientist,,,
HR Coordinator,Missing adapter cable,2024-02-05,2024-02-07
IT Support,No admin privileges; VPN issues,2024-02-18,2024-02-22
Project Manager,,,
Systems Administrator,Softphone not set up; No access to documentation portal,2024-03-02,2024-03-07
Technical Writer,No access to Mednet database,2024-03-18,2024-03-21
Cybersecurity Analyst,,,
Software Engineer,No access to internal reporting system,2024-04-02,2024-04-06
Business Analyst,,,
Data Scientist,Softphone not set up; VPN issues,2024-04-15,2024-04-20
HR Coordinator,Missing login credentials,2024-05-05,2024-05-08
IT Support,No access to Mednet database,2024-05-20,2024-05-23
Project Manager,Softphone not set up,2024-06-12,2024-06-16
Systems Administrator,,,
Technical Writer,VPN issues; No access to Mednet database,2024-07-08,2024-07-13
Cybersecurity Analyst,,,
Software Engineer,Missing adapter cable,2024-07-22,2024-07-25
Business Analyst,No admin privileges,2024-08-05,2024-08-09
Data Scientist,,,
HR Coordinator,Softphone not set up,2024-08-18,2024-08-22
IT Support,,,
Project Manager,No access to internal reporting system,2024-09-01,2024-09-04
Systems Administrator,VPN issues,2024-09-15,2024-09-18
Technical Writer,Softphone not set up,2024-10-02,2024-10-06
Cybersecurity Analyst,No access to Mednet database; Missing adapter cable,2024-10-18,2024-10-22
Software Engineer,,,
Business Analyst,Missing login credentials,2024-11-05,2024-11-07
Data Scientist,Softphone not set up; VPN issues,2024-11-20,2024-11-24
HR Coordinator,,,
IT Support,No access to internal reporting system,2024-12-03,2024-12-07
Project Manager,Softphone not set up; Missing adapter cable,2024-12-18,2024-12-22
IT Support,Two-factor authentication failure; Softphone not set up,2024-03-08,2024-03-13
HR Coordinator,VPN issues,2024-01-31,2024-02-07
Customer Service Rep,,,
HR Coordinator,Two-factor authentication failure; Software installation delayed,2024-02-28,2024-02-29
Business Analyst,,,
Operations Manager,Slow internet; Two-factor authentication failure; Laptop not delivered,2024-04-06,2024-04-13
Finance Associate,VPN issues; Softphone not set up,2024-04-26,2024-04-30
HR Coordinator,Keyboard not working; Missing adapter cable,2024-03-15,2024-03-17
Software Engineer,,,
Data Scientist,Slow internet; No access to Mednet database,2024-03-11,2024-03-13
Data Scientist,Two-factor authentication failure,2024-01-05,2024-01-07
HR Coordinator,,,
Business Analyst,Software installation delayed,2024-04-20,2024-04-27
Data Scientist,No admin privileges,2024-02-09,2024-02-12
IT Support,No access to Mednet database; No access to email,2024-03-03,2024-03-06
Customer Service Rep,Laptop not delivered,2024-01-05,2024-01-09
Operations Manager,Slow internet; No access to Mednet database,2024-03-16,2024-03-21
Operations Manager,No access to Mednet database; Keyboard not working,2024-02-29,2024-03-07
Data Scientist,Two-factor authentication failure; No access to email,2024-01-09,2024-01-11
IT Support,Softphone not set up; Missing adapter cable,2024-02-24,2024-03-01
Operations Manager,No admin privileges; VPN issues,2024-03-15,2024-03-18
Data Scientist,Password reset needed,2024-01-11,2024-01-16
Data Scientist,Laptop not delivered,2024-01-10,2024-01-14
Business Analyst,,,
Customer Service Rep,Access to SharePoint denied; Softphone not set up,2024-03-02,2024-03-07
Software Engineer,VPN issues,2024-04-30,2024-05-02
Customer Service Rep,Keyboard not working; Software installation delayed; Missing adapter cable,2024-04-29,2024-05-02
Customer Service Rep,Software installation delayed; Softphone not set up,2024-03-16,2024-03-17
Operations Manager,,,
Business Analyst,,,
IT Support,,,
Finance Associate,,,
Customer Service Rep,Two-factor authentication failure; Keyboard not working,2024-01-23,2024-01-25
Operations Manager,Keyboard not working,2024-02-06,2024-02-11
Software Engineer,Software installation delayed; Password reset needed,2024-04-23,2024-04-30
Customer Service Rep,VPN issues,2024-04-11,2024-04-15
Data Scientist,,,
Data Scientist,,,
IT Support,Password reset needed; Laptop not delivered,2024-04-12,2024-04-16
Customer Service Rep,Slow internet,2024-04-06,2024-04-13
Operations Manager,,,
Data Scientist,Softphone not set up; No access to email,2024-01-25,2024-02-01
Marketing Specialist,No admin privileges; Access to SharePoint denied; Slow internet,2024-04-19,2024-04-22
Business Analyst,,,
Software Engineer,,,
IT Support,Keyboard not working; Missing adapter cable; No admin privileges,2024-04-19,2024-04-23
HR Coordinator,VPN issues,2024-04-06,2024-04-08
Business Analyst,Software installation delayed; Password reset needed; Keyboard not working,2024-03-18,2024-03-23
Operations Manager,,,
IT Support,Software installation delayed,2024-03-18,2024-03-24
